"DIA";"TIPO_CAMBIO_COMPRA";"TIPO_CAMBIO_VENTA"
"06 oct 2021";"621,08";"629,12"
"07 oct 2021";"623,72";"630,13"
"08 oct 2021";"625,17";"630,43"
"11 oct 2021";"625,26";"631,11"
"12 oct 2021";"625,00";"631,62"
"13 oct 2021";"623,91";"631,67"
"14 oct 2021";"626,21";"631,79"
"15 oct 2021";"624,74";"632,14"
"18 oct 2021";"625,33";"631,90"
"19 oct 2021";"624,00";"631,96"
"20 oct 2021";"626,35";"632,36"
"21 oct 2021";"625,82";"632,68"
"22 oct 2021";"627,52";"633,75"
"25 oct 2021";"627,22";"634,51"
"26 oct 2021";"629,54";"635,08"
"27 oct 2021";"630,99";"636,59"
"28 oct 2021";"633,38";"640,10"
"29 oct 2021";"634,69";"641,69"
"01 nov 2021";"634,69";"641,84"
"02 nov 2021";"634,26";"642,76"
"03 nov 2021";"635,73";"642,62"
"04 nov 2021";"635,27";"643,13"
"05 nov 2021";"637,00";"643,33"
"08 nov 2021";"637,34";"643,51"
"09 nov 2021";"635,08";"644,05"
"10 nov 2021";"637,82";"644,96"
"11 nov 2021";"638,56";"644,95"
"12 nov 2021";"639,34";"645,13"
"15 nov 2021";"638,21";"645,47"
"16 nov 2021";"636,36";"643,10"
"17 nov 2021";"635,07";"641,58"
"18 nov 2021";"635,72";"642,26"
"19 nov 2021";"635,35";"641,11"
"22 nov 2021";"632,71";"640,51"
"23 nov 2021";"633,37";"640,49"
"24 nov 2021";"631,76";"639,19"
"25 nov 2021";"632,48";"638,71"
"26 nov 2021";"628,59";"633,91"
"30 nov 2021";"626,56";"632,20"
"01 dic 2021";"626,15";"632,93"
"02 dic 2021";"626,64";"633,68"
"03 dic 2021";"627,61";"634,32"
"06 dic 2021";"628,74";"636,04"
"07 dic 2021";"631,77";"638,64"
"08 dic 2021";"632,86";"641,17"
"09 dic 2021";"636,78";"642,65"
"10 dic 2021";"636,19";"642,86"
"13 dic 2021";"635,94";"641,96"
"14 dic 2021";"634,70";"641,30"
"15 dic 2021";"636,01";"642,49"
"16 dic 2021";"634,44";"642,19"
"17 dic 2021";"633,84";"640,82"
"20 dic 2021";"634,09";"640,95"
"21 dic 2021";"634,11";"642,06"
"22 dic 2021";"638,13";"645,49"
"23 dic 2021";"639,72";"646,33"
"24 dic 2021";"638,05";"645,47"
"27 dic 2021";"637,85";"643,82"
"28 dic 2021";"638,13";"644,09"
"29 dic 2021";"638,94";"644,83"
"30 dic 2021";"638,75";"644,91"
"03 ene 2022";"639,06";"645,25"
"04 ene 2022";"639,54";"645,39"
"05 ene 2022";"638,47";"644,53"
"06 ene 2022";"639,37";"644,92"
"07 ene 2022";"639,87";"644,63"
"10 ene 2022";"637,19";"644,03"
"11 ene 2022";"635,00";"643,44"
"12 ene 2022";"634,24";"640,55"
"13 ene 2022";"632,91";"637,92"
"14 ene 2022";"631,51";"636,97"
"17 ene 2022";"628,20";"636,33"
"18 ene 2022";"629,73";"636,12"
"19 ene 2022";"629,37";"635,58"
"20 ene 2022";"629,68";"635,67"
"21 ene 2022";"631,18";"637,95"
"24 ene 2022";"633,17";"640,25"
"25 ene 2022";"634,67";"643,08"
"26 ene 2022";"636,95";"644,79"
"27 ene 2022";"639,04";"645,07"
"28 ene 2022";"640,70";"645,97"
"31 ene 2022";"638,97";"646,20"
"01 feb 2022";"640,05";"646,90"
"02 feb 2022";"641,04";"648,48"
"03 feb 2022";"642,15";"648,72"
"04 feb 2022";"642,33";"647,98"
"07 feb 2022";"640,17";"647,95"
"08 feb 2022";"640,50";"647,85"
"09 feb 2022";"639,48";"647,45"
"10 feb 2022";"641,03";"647,15"
"11 feb 2022";"640,19";"646,93"
"14 feb 2022";"638,63";"644,59"
"15 feb 2022";"636,03";"642,88"
"16 feb 2022";"636,35";"642,90"
"17 feb 2022";"637,00";"642,77"
"18 feb 2022";"636,74";"642,83"
"21 feb 2022";"636,98";"642,80"
"22 feb 2022";"637,13";"644,01"
"23 feb 2022";"636,94";"644,74"
"24 feb 2022";"638,10";"644,91"
"25 feb 2022";"637,80";"646,50"
"28 feb 2022";"641,53";"647,34"
"01 mar 2022";"640,02";"647,31"
"02 mar 2022";"640,12";"647,78"
"03 mar 2022";"641,85";"648,04"
"04 mar 2022";"642,08";"649,08"
"07 mar 2022";"643,93";"651,68"
"08 mar 2022";"645,30";"653,53"
"09 mar 2022";"648,97";"655,61"
"10 mar 2022";"649,28";"656,06"
"11 mar 2022";"647,60";"654,34"
"14 mar 2022";"643,37";"650,89"
"15 mar 2022";"639,90";"645,76"
"16 mar 2022";"637,66";"644,17"
"17 mar 2022";"639,31";"645,60"
"18 mar 2022";"642,28";"648,93"
"21 mar 2022";"644,73";"651,22"
"22 mar 2022";"644,51";"653,21"
"23 mar 2022";"650,24";"655,48"
"24 mar 2022";"650,94";"658,09"
"25 mar 2022";"652,53";"659,53"
"28 mar 2022";"653,57";"661,60"
"29 mar 2022";"655,13";"663,17"
